source,target,value
Visa,Residence Permit,1
Visa,Spain,1
Visualization,Node.js,1
Visualization,Python,2
Visualization,Rapahel.js,1
Visualization,Tech,22
Visualization,Virtualenv,1
Visualization,matplotlib,1
Visualization,original,1
Web framework,Drupal,3
Web framework,Express.js,1
Web framework,Tech,4
What you need to learn,Interests,1
Why Data Analysis,Tech,4
Why Data Analysis,Visualization,4
World Cup,Interests,1
World history,History/Culture,1
World history,Interests,1
Yeonpyeong Island Shooting,Cheonanham case,3
Yeonpyeong Island Shooting,North Korea,1
Yeonpyeong Island Shooting,Society,3
Yi Chan,Society,1
Yoo Seung-min,Society,1
Zen Bamboo,Interests,3
Zen Bamboo,Madrid,3
Zen Bamboo,Sushi buffet,3
_R_,Python,1
_R_,Tech,7
_R_,Visualization,1
accent,Foreign reaction,1
accent,Interests,1
accent,language,1
accent,외국인 반응,1
bubble,Tech,3
butane,Hangul,1
butane,Hun-Min-Jeong-Eum,1
butane,Identity,1
butane,Lang,1
car,Car maintenance,1
car,Interests,7
car,Maintenance,7
car,car wash,1
car wash,Interests,6
car wash,Maintenance,6
car wash,car,6
chrome_browser,Tech,3
cleaning,Clean the house,1
cleaning,Interests,1
coffee,Interests,2
coffee,Mocha pot,2
company,Employment,1
comparison,Tech,1
connector,Django,1
connector,Node.js,4
connector,Tech,5
corpus,Lang,1
corpus,NLP,1
culture,History/Culture,1
culture,Interests,1
culture,Spain,1
debug,Python,3
debug,Tech,3
deploy,Google Cloud Platform,2
deploy,Tech,6
dev opinion,Tech,1
developer,CV,1
developer,Resume,1
dictionary,English,5
dictionary,Hangul,3
dictionary,Hun-Min-Jeong-Eum,2
dictionary,Korean,2
dictionary,Lang,14
dictionary,NLP,1
dictionary,Spanish,2
dictionary,The best alphabet,1
dictionary,corpus,1
distinction,Hangul,1
distinction,Hun-Min-Jeong-Eum,1
distinction,Korean,1
distinction,Lang,1
distribution,IDE,1
distribution,Tech,1
drama,Chinese,2
drama,Interests,7
drama,Lang,4
drama,Spanish,4
drama,animation,1
drama,mechanic,1
education,IMM,1
education,Lang,1
education,Oriental Classics,1
english SAT,Foreign reaction,1
english SAT,Interests,1
